epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,287.597,0.91315,0.64952,1.02574,0.82015,0.65733,0.68245,0.47073,1.16336,0.99587,1.13081,0.0011684,0.0011684,0.0011684
44,294.136,0.88719,0.64291,1.01261,0.80069,0.63063,0.66684,0.47305,1.14248,0.956,1.09742,0.0011486,0.0011486,0.0011486
45,300.85,0.90371,0.62846,0.99366,0.81684,0.65766,0.69916,0.48912,1.16611,0.98393,1.11723,0.0011288,0.0011288,0.0011288
46,307.623,0.90322,0.6321,1.01683,0.75452,0.65766,0.69667,0.48795,1.0993,0.90598,1.13622,0.001109,0.001109,0.001109
47,314.417,0.90496,0.64416,1.00911,0.79913,0.51351,0.59556,0.38458,1.36239,1.1179,1.31521,0.0010892,0.0010892,0.0010892
48,321.241,0.85366,0.61805,1.00178,0.76336,0.65766,0.6803,0.45199,1.18781,0.97802,1.1477,0.0010694,0.0010694,0.0010694
49,327.922,0.89735,0.63264,1.0215,0.75079,0.67854,0.69607,0.49171,1.13744,0.89999,1.08896,0.0010496,0.0010496,0.0010496
50,334.53,0.86101,0.63295,0.99675,0.77619,0.62162,0.65994,0.45635,1.15444,1.00205,1.15594,0.0010298,0.0010298,0.0010298
51,341.2,0.8918,0.62428,1.01443,0.79668,0.60015,0.68318,0.4777,1.1541,0.90318,1.15793,0.00101,0.00101,0.00101
52,347.666,0.89111,0.62351,0.99842,0.77309,0.6036,0.66359,0.46999,1.17822,0.92289,1.18263,0.0009902,0.0009902,0.0009902
53,354.119,0.87978,0.62392,0.98102,0.77619,0.65612,0.68313,0.48276,1.15807,0.98858,1.16755,0.0009704,0.0009704,0.0009704
54,360.664,0.88943,0.65067,1.01136,0.88193,0.67297,0.70357,0.48813,1.14475,0.883,1.12046,0.0009506,0.0009506,0.0009506
55,367.159,0.87973,0.60845,0.99802,0.86727,0.64865,0.69395,0.48793,1.06739,0.84618,1.08988,0.0009308,0.0009308,0.0009308
56,373.74,0.86209,0.57851,0.98093,0.7928,0.63063,0.68179,0.4759,1.16723,0.84715,1.14166,0.000911,0.000911,0.000911
57,380.225,0.8488,0.57852,0.98612,0.80968,0.64865,0.6969,0.48341,1.18928,0.85112,1.16048,0.0008912,0.0008912,0.0008912
58,386.778,0.82446,0.56141,0.99035,0.88193,0.62162,0.70456,0.49334,1.14742,0.81887,1.13351,0.0008714,0.0008714,0.0008714
59,393.336,0.864,0.58502,1.00676,0.79689,0.6009,0.68074,0.47344,1.12563,0.94126,1.12013,0.0008516,0.0008516,0.0008516
60,399.818,0.84756,0.60282,1.00382,0.83722,0.59459,0.69948,0.50202,1.15629,0.94215,1.12071,0.0008318,0.0008318,0.0008318
61,406.647,0.83163,0.56682,0.98649,0.82681,0.57658,0.66046,0.47228,1.14742,0.94353,1.19138,0.000812,0.000812,0.000812
62,413.547,0.79969,0.53448,0.98023,0.79758,0.60344,0.67164,0.47925,1.15444,0.92457,1.15452,0.0007922,0.0007922,0.0007922
63,420.368,0.83263,0.56406,0.98642,0.88508,0.67568,0.73913,0.52256,1.05933,0.85096,1.08,0.0007724,0.0007724,0.0007724
64,427.173,0.8315,0.55372,0.97854,0.88494,0.67568,0.75495,0.53661,1.07378,0.85998,1.08227,0.0007526,0.0007526,0.0007526
65,433.862,0.80271,0.53025,0.9566,0.84466,0.7027,0.76663,0.55374,1.03684,0.77536,1.07091,0.0007328,0.0007328,0.0007328
66,440.565,0.78388,0.53244,0.95716,0.82291,0.63964,0.71265,0.5075,1.11398,0.88518,1.1625,0.000713,0.000713,0.000713
67,447.094,0.79363,0.54992,0.97491,0.81354,0.63964,0.70249,0.49898,1.03045,0.84872,1.06285,0.0006932,0.0006932,0.0006932
68,453.505,0.77344,0.5191,0.96855,0.78687,0.6036,0.671,0.48779,1.08162,0.87116,1.09782,0.0006734,0.0006734,0.0006734
69,459.977,0.76842,0.52276,0.96003,0.79772,0.62162,0.68105,0.49695,1.10489,0.90342,1.147,0.0006536,0.0006536,0.0006536
70,466.56,0.7825,0.5267,0.95835,0.79872,0.6435,0.70644,0.48516,1.1755,0.9499,1.19102,0.0006338,0.0006338,0.0006338
71,473.314,0.78112,0.5329,0.9712,0.8167,0.68468,0.72614,0.48444,1.15403,0.92983,1.19822,0.000614,0.000614,0.000614
72,480.03,0.77965,0.5144,0.96318,0.79155,0.65,0.71959,0.49494,1.10606,0.91793,1.1248,0.0005942,0.0005942,0.0005942
73,486.79,0.78178,0.52899,0.96295,0.93322,0.62946,0.74246,0.50119,1.11207,0.88642,1.1418,0.0005744,0.0005744,0.0005744
74,493.503,0.79117,0.51842,0.9632,0.83962,0.64865,0.68735,0.50358,1.10709,0.88886,1.13723,0.0005546,0.0005546,0.0005546
75,500.268,0.75316,0.50383,0.96314,0.91207,0.65417,0.70558,0.50609,1.08769,0.91948,1.12509,0.0005348,0.0005348,0.0005348
76,507.141,0.76398,0.50114,0.96123,0.94657,0.63849,0.71318,0.52152,1.08228,0.9181,1.11623,0.000515,0.000515,0.000515
77,513.868,0.74911,0.50939,0.96568,0.89918,0.64279,0.73732,0.53446,1.05087,0.85907,1.08895,0.0004952,0.0004952,0.0004952
78,520.35,0.76611,0.50138,0.96058,0.80957,0.68468,0.74533,0.5389,1.02953,0.81504,1.06336,0.0004754,0.0004754,0.0004754
79,526.856,0.73506,0.48804,0.96259,0.88335,0.63964,0.70807,0.52119,1.02769,0.86444,1.06912,0.0004556,0.0004556,0.0004556
80,533.329,0.72775,0.49263,0.95305,0.87352,0.62223,0.717,0.50577,1.06848,0.85726,1.107,0.0004358,0.0004358,0.0004358
81,539.953,0.72616,0.48231,0.95023,0.88519,0.62517,0.71356,0.51568,1.04879,0.83284,1.0997,0.000416,0.000416,0.000416
82,546.693,0.70952,0.47374,0.94594,0.8298,0.65885,0.72141,0.52909,1.04076,0.77095,1.10404,0.0003962,0.0003962,0.0003962
83,553.428,0.74905,0.48417,0.96325,0.81356,0.64865,0.70822,0.51147,1.05231,0.78555,1.06711,0.0003764,0.0003764,0.0003764
84,560.222,0.72587,0.46641,0.93234,0.80536,0.66667,0.69505,0.52251,1.00865,0.77312,1.07742,0.0003566,0.0003566,0.0003566
85,566.928,0.72061,0.47648,0.9478,0.81065,0.64865,0.69315,0.51882,1.04707,0.79746,1.09642,0.0003368,0.0003368,0.0003368
